,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
17903,60256509,SANDUSDT,30,30,1650252600,1650252600,85299,2.7126,2.7145,2.7011,2.7053,231132.377
17904,60264450,SANDUSDT,30,30,1650254400,1650254400,3346671,2.7053,2.7109,2.5153,2.5822,8697355.3938
17905,60272331,SANDUSDT,30,30,1650256200,1650256200,709219,2.5822,2.5984,2.5619,2.5676,1832952.5706
17906,60279852,SANDUSDT,30,30,1650258000,1650258000,775940,2.5676,2.5977,2.549,2.5956,1995329.3942
17907,60287531,SANDUSDT,30,30,1650259800,1650259800,206292,2.5956,2.5985,2.5837,2.589,534164.6334
17908,60295800,SANDUSDT,30,30,1650261600,1650261600,152586,2.589,2.6048,2.5852,2.5959,396056.5133
17909,60303368,SANDUSDT,30,30,1650263400,1650263400,366653,2.5959,2.6061,2.5863,2.5939,952654.4538
17910,60311254,SANDUSDT,30,30,1650265200,1650265200,328651,2.5939,2.5995,2.5751,2.5816,851232.7139
17911,60318866,SANDUSDT,30,30,1650267000,1650267000,417794,2.5816,2.5897,2.5592,2.5731,1074448.2064
17912,60326501,SANDUSDT,30,30,1650268800,1650268800,169459,2.5731,2.5927,2.5714,2.5829,437457.4536
17913,60334406,SANDUSDT,30,30,1650270600,1650270600,83485,2.5829,2.5872,2.5661,2.5688,215097.5131
17914,60342093,SANDUSDT,30,30,1650272400,1650272400,171230,2.5688,2.5894,2.5587,2.5861,441186.5981
17915,60349964,SANDUSDT,30,30,1650274200,1650274200,180855,2.5861,2.5992,2.5834,2.5991,468936.8418
17916,60357562,SANDUSDT,30,30,1650276000,1650276000,171076,2.5991,2.6128,2.5959,2.6098,445524.0206
17917,60365438,SANDUSDT,30,30,1650277800,1650277800,210852,2.6098,2.6168,2.5936,2.5939,549079.0289
17918,60373001,SANDUSDT,30,30,1650279600,1650279600,85334,2.5939,2.6146,2.5939,2.608,222296.2767
17919,60380736,SANDUSDT,30,30,1650281400,1650281400,84101,2.608,2.6142,2.603,2.6066,219320.7674
17920,60389451,SANDUSDT,30,30,1650283200,1650283200,455604,2.6066,2.6412,2.6053,2.6368,1196885.5551
17921,60396800,SANDUSDT,30,30,1650285000,1650285000,207526,2.6368,2.6468,2.6311,2.6399,547718.6416
17922,60404431,SANDUSDT,30,30,1650286800,1650286800,108362,2.6399,2.6453,2.6254,2.6355,285460.1032
17923,60412224,SANDUSDT,30,30,1650288600,1650288600,419653,2.6355,2.6539,2.6193,2.6262,1106626.4956
17924,60419883,SANDUSDT,30,30,1650290400,1650290400,192502,2.6262,2.6479,2.6257,2.641,508367.9752
17925,60427725,SANDUSDT,30,30,1650292200,1650292200,262958,2.641,2.6466,2.6267,2.643,693177.5307
17926,60435376,SANDUSDT,30,30,1650294000,1650294000,138936,2.643,2.6467,2.6224,2.6305,366107.653
17927,60443223,SANDUSDT,30,30,1650295800,1650295800,90671,2.6305,2.638,2.6237,2.6356,238535.445
17928,60450986,SANDUSDT,30,30,1650297600,1650297600,322517,2.6356,2.6385,2.6032,2.6188,843597.2446
17929,60458869,SANDUSDT,30,30,1650299400,1650299400,419792,2.6188,2.6555,2.6166,2.6419,1108389.4521
17930,60466541,SANDUSDT,30,30,1650301200,1650301200,743146,2.6419,2.6897,2.6402,2.6592,1982735.3705
17931,60474186,SANDUSDT,30,30,1650303000,1650303000,482813,2.6592,2.6931,2.6572,2.6881,1294488.3928
17932,60482712,SANDUSDT,30,30,1650304800,1650304800,869564,2.6881,2.726,2.6881,2.7197,2356431.6153
17933,60489970,SANDUSDT,30,30,1650306600,1650306600,355385,2.7197,2.7329,2.7121,2.7189,966828.5735
